sampleID	MouseID	Treatment	Timepoint	Project
Villapol_5D_190	190	ABX	5dpi2	DEPL
Villapol_5D_191	191	ABX	5dpi2	DEPL
Villapol_5D_192	192	ABX	5dpi2	DEPL
Villapol_5D_194	194	ABX	5dpi2	DEPL
Villapol_5D_195	195	ABX	5dpi2	DEPL
Villapol_5D_196	196	ABX	5dpi2	DEPL
Villapol_5D_197	197	ABX	5dpi2	DEPL
Villapol_5D_198	198	ABX	5dpi2	DEPL
Villapol_5D_199	199	ABX	5dpi2	DEPL
Villapol_5D_200	200	VEH	5dpi2	DEPL
Villapol_5D_201	201	VEH	5dpi2	DEPL
Villapol_5D_203	203	VEH	5dpi2	DEPL
Villapol_5D_204	204	VEH	5dpi2	DEPL
Villapol_5D_205	205	VEH	5dpi2	DEPL
Villapol_5D_206	206	VEH	5dpi2	DEPL
Villapol_5D_207	207	VEH	5dpi2	DEPL
Villapol_5D_208	208	VEH	5dpi2	DEPL
Villapol_5D_209	209	VEH	5dpi2	DEPL
Villapol_7D_190	190	ABX	7dpi1	DEPL
Villapol_7D_191	191	ABX	7dpi1	DEPL
Villapol_7D_192	192	ABX	7dpi1	DEPL
Villapol_7D_193	193	ABX	7dpi1	DEPL
Villapol_7D_194	194	ABX	7dpi1	DEPL
Villapol_7D_195	195	ABX	7dpi1	DEPL
Villapol_7D_196	196	ABX	7dpi1	DEPL
Villapol_7D_197	197	ABX	7dpi1	DEPL
Villapol_7D_198	198	ABX	7dpi1	DEPL
Villapol_7D_199	199	ABX	7dpi1	DEPL
Villapol_7D_200	200	VEH	7dpi1	DEPL
Villapol_7D_201	201	VEH	7dpi1	DEPL
Villapol_7D_202	202	VEH	7dpi1	DEPL
Villapol_7D_203	203	VEH	7dpi1	DEPL
Villapol_7D_204	204	VEH	7dpi1	DEPL
Villapol_7D_205	205	VEH	7dpi1	DEPL
Villapol_7D_206	206	VEH	7dpi1	DEPL
Villapol_7D_207	207	VEH	7dpi1	DEPL
Villapol_7D_208	208	VEH	7dpi1	DEPL
Villapol_7D_209	209	VEH	7dpi1	DEPL
Villapol_BA_190	190	ABX	BA	DEPL
Villapol_BA_191	191	ABX	BA	DEPL
Villapol_BA_192	192	ABX	BA	DEPL
Villapol_BA_193	193	ABX	BA	DEPL
Villapol_BA_194	194	ABX	BA	DEPL
Villapol_BA_195	195	ABX	BA	DEPL
Villapol_BA_196	196	ABX	BA	DEPL
Villapol_BA_197	197	ABX	BA	DEPL
Villapol_BA_198	198	ABX	BA	DEPL
Villapol_BA_199	199	ABX	BA	DEPL
Villapol_BA_200	200	VEH	BA	DEPL
Villapol_BA_201	201	VEH	BA	DEPL
Villapol_BA_202	202	VEH	BA	DEPL
Villapol_BA_203	203	VEH	BA	DEPL
Villapol_BA_204	204	VEH	BA	DEPL
Villapol_BA_205	205	VEH	BA	DEPL
Villapol_BA_206	206	VEH	BA	DEPL
Villapol_BA_207	207	VEH	BA	DEPL
Villapol_BA_208	208	VEH	BA	DEPL
Villapol_BA_209	209	VEH	BA	DEPL
Villapol_POST201	201	VEH	POST	DEPL
Villapol_POST_190	190	ABX	POST	DEPL
Villapol_POST_191	191	ABX	POST	DEPL
Villapol_POST_192	192	ABX	POST	DEPL
Villapol_POST_193	193	ABX	POST	DEPL
Villapol_POST_194	194	ABX	POST	DEPL
Villapol_POST_195	195	ABX	POST	DEPL
Villapol_POST_196	196	ABX	POST	DEPL
Villapol_POST_197	197	ABX	POST	DEPL
Villapol_POST_198	198	ABX	POST	DEPL
Villapol_POST_199	199	ABX	POST	DEPL
Villapol_POST_200	200	VEH	POST	DEPL
Villapol_POST_202	202	VEH	POST	DEPL
Villapol_POST_203	203	VEH	POST	DEPL
Villapol_POST_204	204	VEH	POST	DEPL
Villapol_POST_205	205	VEH	POST	DEPL
Villapol_POST_206	206	VEH	POST	DEPL
Villapol_POST_207	207	VEH	POST	DEPL
Villapol_POST_208	208	VEH	POST	DEPL
Villapol_POST_209	209	VEH	POST	DEPL
Villapol_PRE_190	190	ABX	PRE	DEPL
Villapol_PRE_191	191	ABX	PRE	DEPL
Villapol_PRE_192	192	ABX	PRE	DEPL
Villapol_PRE_193	193	ABX	PRE	DEPL
Villapol_PRE_194	194	ABX	PRE	DEPL
Villapol_PRE_195	195	ABX	PRE	DEPL
Villapol_PRE_196	196	ABX	PRE	DEPL
Villapol_PRE_197	197	ABX	PRE	DEPL
Villapol_PRE_198	198	ABX	PRE	DEPL
Villapol_PRE_199	199	ABX	PRE	DEPL
Villapol_PRE_200	200	VEH	PRE	DEPL
Villapol_PRE_201	201	VEH	PRE	DEPL
Villapol_PRE_202	202	VEH	PRE	DEPL
Villapol_PRE_203	203	VEH	PRE	DEPL
Villapol_PRE_204	204	VEH	PRE	DEPL
Villapol_PRE_205	205	VEH	PRE	DEPL
Villapol_PRE_206	206	VEH	PRE	DEPL
Villapol_PRE_207	207	VEH	PRE	DEPL
Villapol_PRE_208	208	VEH	PRE	DEPL
Villapol_PRE_209	209	VEH	PRE	DEPL
