#SampleID	fastqFile	SequencingRun	Treatment	Timepoint
Villapol_5D_190	"Villapol_5D_190_R1_001.fastq.gz,Villapol_5D_190_R2_001.fastq.gz"	A	ABX	5dpi2
Villapol_5D_191	"Villapol_5D_191_R1_001.fastq.gz,Villapol_5D_191_R2_001.fastq.gz"	A	ABX	5dpi2
Villapol_5D_192	"Villapol_5D_192_R1_001.fastq.gz,Villapol_5D_192_R2_001.fastq.gz"	A	ABX	5dpi2
Villapol_5D_194	"Villapol_5D_194_R1_001.fastq.gz,Villapol_5D_194_R2_001.fastq.gz"	A	ABX	5dpi2
Villapol_5D_195	"Villapol_5D_195_R1_001.fastq.gz,Villapol_5D_195_R2_001.fastq.gz"	A	ABX	5dpi2
Villapol_5D_196	"Villapol_5D_196_R1_001.fastq.gz,Villapol_5D_196_R2_001.fastq.gz"	A	ABX	5dpi2
Villapol_5D_197	"Villapol_5D_197_R1_001.fastq.gz,Villapol_5D_197_R2_001.fastq.gz"	A	ABX	5dpi2
Villapol_5D_198	"Villapol_5D_198_R1_001.fastq.gz,Villapol_5D_198_R2_001.fastq.gz"	A	ABX	5dpi2
Villapol_5D_199	"Villapol_5D_199_R1_001.fastq.gz,Villapol_5D_199_R2_001.fastq.gz"	A	ABX	5dpi2
Villapol_5D_200	"Villapol_5D_200_R1_001.fastq.gz,Villapol_5D_200_R2_001.fastq.gz"	A	VEH	5dpi2
Villapol_5D_201	"Villapol_5D_201_R1_001.fastq.gz,Villapol_5D_201_R2_001.fastq.gz"	A	VEH	5dpi2
Villapol_5D_203	"Villapol_5D_203_R1_001.fastq.gz,Villapol_5D_203_R2_001.fastq.gz"	A	VEH	5dpi2
Villapol_5D_204	"Villapol_5D_204_R1_001.fastq.gz,Villapol_5D_204_R2_001.fastq.gz"	A	VEH	5dpi2
Villapol_5D_205	"Villapol_5D_205_R1_001.fastq.gz,Villapol_5D_205_R2_001.fastq.gz"	A	VEH	5dpi2
Villapol_5D_206	"Villapol_5D_206_R1_001.fastq.gz,Villapol_5D_206_R2_001.fastq.gz"	A	VEH	5dpi2
Villapol_5D_207	"Villapol_5D_207_R1_001.fastq.gz,Villapol_5D_207_R2_001.fastq.gz"	A	VEH	5dpi2
Villapol_5D_208	"Villapol_5D_208_R1_001.fastq.gz,Villapol_5D_208_R2_001.fastq.gz"	A	VEH	5dpi2
Villapol_5D_209	"Villapol_5D_209_R1_001.fastq.gz,Villapol_5D_209_R2_001.fastq.gz"	A	VEH	5dpi2
Villapol_7D_190	"Villapol_7D_190_R1_001.fastq.gz,Villapol_7D_190_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_191	"Villapol_7D_191_R1_001.fastq.gz,Villapol_7D_191_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_192	"Villapol_7D_192_R1_001.fastq.gz,Villapol_7D_192_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_193	"Villapol_7D_193_R1_001.fastq.gz,Villapol_7D_193_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_194	"Villapol_7D_194_R1_001.fastq.gz,Villapol_7D_194_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_195	"Villapol_7D_195_R1_001.fastq.gz,Villapol_7D_195_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_196	"Villapol_7D_196_R1_001.fastq.gz,Villapol_7D_196_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_197	"Villapol_7D_197_R1_001.fastq.gz,Villapol_7D_197_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_198	"Villapol_7D_198_R1_001.fastq.gz,Villapol_7D_198_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_199	"Villapol_7D_199_R1_001.fastq.gz,Villapol_7D_199_R2_001.fastq.gz"	A	ABX	7dpi1
Villapol_7D_200	"Villapol_7D_200_R1_001.fastq.gz,Villapol_7D_200_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_7D_201	"Villapol_7D_201_R1_001.fastq.gz,Villapol_7D_201_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_7D_202	"Villapol_7D_202_R1_001.fastq.gz,Villapol_7D_202_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_7D_203	"Villapol_7D_203_R1_001.fastq.gz,Villapol_7D_203_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_7D_204	"Villapol_7D_204_R1_001.fastq.gz,Villapol_7D_204_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_7D_205	"Villapol_7D_205_R1_001.fastq.gz,Villapol_7D_205_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_7D_206	"Villapol_7D_206_R1_001.fastq.gz,Villapol_7D_206_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_7D_207	"Villapol_7D_207_R1_001.fastq.gz,Villapol_7D_207_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_7D_208	"Villapol_7D_208_R1_001.fastq.gz,Villapol_7D_208_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_7D_209	"Villapol_7D_209_R1_001.fastq.gz,Villapol_7D_209_R2_001.fastq.gz"	A	VEH	7dpi1
Villapol_BA_190	"Villapol_BA_190_R1_001.fastq.gz,Villapol_BA_190_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_191	"Villapol_BA_191_R1_001.fastq.gz,Villapol_BA_191_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_192	"Villapol_BA_192_R1_001.fastq.gz,Villapol_BA_192_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_193	"Villapol_BA_193_R1_001.fastq.gz,Villapol_BA_193_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_194	"Villapol_BA_194_R1_001.fastq.gz,Villapol_BA_194_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_195	"Villapol_BA_195_R1_001.fastq.gz,Villapol_BA_195_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_196	"Villapol_BA_196_R1_001.fastq.gz,Villapol_BA_196_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_197	"Villapol_BA_197_R1_001.fastq.gz,Villapol_BA_197_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_198	"Villapol_BA_198_R1_001.fastq.gz,Villapol_BA_198_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_199	"Villapol_BA_199_R1_001.fastq.gz,Villapol_BA_199_R2_001.fastq.gz"	A	ABX	BA
Villapol_BA_200	"Villapol_BA_200_R1_001.fastq.gz,Villapol_BA_200_R2_001.fastq.gz"	A	VEH	BA
Villapol_BA_201	"Villapol_BA_201_R1_001.fastq.gz,Villapol_BA_201_R2_001.fastq.gz"	A	VEH	BA
Villapol_BA_202	"Villapol_BA_202_R1_001.fastq.gz,Villapol_BA_202_R2_001.fastq.gz"	A	VEH	BA
Villapol_BA_203	"Villapol_BA_203_R1_001.fastq.gz,Villapol_BA_203_R2_001.fastq.gz"	A	VEH	BA
Villapol_BA_204	"Villapol_BA_204_R1_001.fastq.gz,Villapol_BA_204_R2_001.fastq.gz"	A	VEH	BA
Villapol_BA_205	"Villapol_BA_205_R1_001.fastq.gz,Villapol_BA_205_R2_001.fastq.gz"	A	VEH	BA
Villapol_BA_206	"Villapol_BA_206_R1_001.fastq.gz,Villapol_BA_206_R2_001.fastq.gz"	A	VEH	BA
Villapol_BA_207	"Villapol_BA_207_R1_001.fastq.gz,Villapol_BA_207_R2_001.fastq.gz"	A	VEH	BA
Villapol_BA_208	"Villapol_BA_208_R1_001.fastq.gz,Villapol_BA_208_R2_001.fastq.gz"	A	VEH	BA
Villapol_BA_209	"Villapol_BA_209_R1_001.fastq.gz,Villapol_BA_209_R2_001.fastq.gz"	A	VEH	BA
Villapol_POST_190	"Villapol_POST_190_R1_001.fastq.gz,Villapol_POST_190_R2_001.fastq.gz"	A	VEH	POST
Villapol_POST_191	"Villapol_POST_191_R1_001.fastq.gz,Villapol_POST_191_R2_001.fastq.gz"	A	ABX	POST
Villapol_POST_192	"Villapol_POST_192_R1_001.fastq.gz,Villapol_POST_192_R2_001.fastq.gz"	A	ABX	POST
Villapol_POST_193	"Villapol_POST_193_R1_001.fastq.gz,Villapol_POST_193_R2_001.fastq.gz"	A	ABX	POST
Villapol_POST_194	"Villapol_POST_194_R1_001.fastq.gz,Villapol_POST_194_R2_001.fastq.gz"	A	ABX	POST
Villapol_POST_195	"Villapol_POST_195_R1_001.fastq.gz,Villapol_POST_195_R2_001.fastq.gz"	A	ABX	POST
Villapol_POST_196	"Villapol_POST_196_R1_001.fastq.gz,Villapol_POST_196_R2_001.fastq.gz"	A	ABX	POST
